Category,Section,Description,length,Example write-up,Your Response
System Data Information,Dataset Description,"Describe each dataset used for your AI system if any. Include the purpose of the dataset, its size, source domains (e.g., medical records, social media), and whether the data represent diverse populations relevant to the intended use. Mention if the dataset includes personal or sensitive data and whether it was anonymized or synthesized.",40–60 words,"Training data include 1.2 million anonymized emergency room cases from Canadian hospitals collected between 2016–2021. Validation used synthetic profiles generated via differential privacy. The dataset includes diverse demographic coverage by age, sex, and ethnicity but excludes biometric data. Sensitive fields (e.g., race, religion) were excluded from model input.","booksy does not rely on proprietary datasets for training. AI-generated stories and illustrations are produced in real-time using general-purpose models (Llama-70B for text, Photon for images). Users provide personal inputs, such as names, voice recordings, and story choices, which are stored securely; all sensitive data is handled with consent and privacy safeguards."
,Collection Method,"Explain how each dataset was collected, including the data sources (e.g., surveys, web scraping), consent mechanisms, and whether third parties were involved. Clarify any limitations or assumptions made during collection and whether the data were collected directly from individuals or derived from secondary sources.",30–45 words,Training data were collected under research ethics approvals with informed consent where required. EHRs were extracted through secure hospital channels. Supplemental data were synthesized using a GPT-based generator and underwent internal validation. All data were anonymized using irreversible hashing techniques before model access.,"booksy does not collect external datasets. All user-provided inputs, such as story text, names, and audio recordings, are entered directly by families with consent. No third-party data is used, and all personal content is stored securely for the purpose of creating and replaying stories."
,Bias Mitigation Measures,"Detail the methods used to detect and reduce bias in data and model behavior. Include audits, rebalancing techniques, adversarial testing, subgroup performance analysis, and any manual interventions. Explain how outcomes were validated for fairness across different demographic groups.",30–45 words,Bias audits were conducted pre-deployment using subgroup fairness metrics. Underrepresented populations were oversampled. The model was adjusted using threshold optimization to equalize false negative rates. Performance disparities >2% triggered model retraining. Post-deployment dashboards monitor demographic drift monthly.,"booksy incorporates bias mitigation by filtering AI-generated content to avoid stereotypes or harmful narratives. Prompts and outputs are reviewed to ensure inclusivity across cultures, genders, and ages. User testing with diverse families helps validate fairness, and moderation tools flag inappropriate or biased content in real time."
,Usage Constraints,"Specify any limitations or conditions placed on system use, such as geographic, temporal, or technical constraints. Indicate legal restrictions (e.g., export controls), licensing terms (e.g., non-commercial only), or required approvals for deployment. Describe how inappropriate or unauthorized uses are prevented.",30–45 words,Use is geographically limited to Canada and the EU. SmartAid cannot be deployed in jurisdictions with conflicting privacy laws. Only certified hospital IT environments with VPN access are permitted. Unauthorized modification or repurposing of model outputs is prohibited by system policy and licensing.,"booksy is intended for private, non-commercial family use worldwide where internet access and parental supervision are available. Users must follow child safety and data privacy guidelines. Unauthorized redistribution, reverse engineering, or use for harmful content creation is prohibited and mitigated through access controls and moderation features."
System Performance and Evaluation,Summary of Performance Assessment,"Summarize key evaluation metrics (e.g., accuracy, precision, recall, F1, fairness metrics) used to assess the system's performance. ",30–45 words,"SmartAid achieved 91.2% F1-score for triage accuracy on 2023 test data, outperforming a clinical baseline of 84.3%. Model precision and recall were balanced. Evaluation was conducted on real-world ER datasets. Review included subgroup performance, latency, and error analysis.","booksy’s performance was evaluated through user testing and system responsiveness. Story generation latency averages under 2 seconds, with illustrations and narration synchronized in real time. User satisfaction surveys indicate high engagement and perceived enjoyment, while moderation tools maintain content appropriateness and fairness across diverse users."
,Disaggregated Performance,"Report system performance across different subgroups (e.g., age, gender, ethnicity, geography) relevant to the intended user population. Include metrics that highlight disparities or consistent trends. State how subgroup categories were selected, and whether performance gaps were identified and addressed.",30–50 words,"Performance analysis revealed consistent accuracy across age and sex groups. A 3.1% disparity in risk prediction accuracy was observed for Indigenous patients, which led to retraining on an enriched dataset. Subgroup categories followed Statistics Canada health equity classifications.","Disaggregated evaluation of booksy showed consistent engagement and satisfaction across participants of different ages, genders, and cultural backgrounds among hackathon testers. No significant disparities were observed, and subgroup categories were selected based on self-reported demographics during testing."
,Testing Contexts,"Describe the environments and conditions under which the system was tested (e.g., simulated lab vs. real-world setting). Include geographical, social, and technical conditions, and explain how these contexts reflect actual deployment conditions. Note if testing included vulnerable or underrepresented populations.",30–50 words,"System testing included live simulations at Vancouver General Hospital and Calgary Foothills Medical Centre. Evaluations included stress scenarios, network downtimes, and multilingual inputs. User acceptance testing engaged triage nurses from various training backgrounds to ensure usability and equity under real operational pressure.","booksy was tested with hackathon participants and judges from diverse backgrounds. Evaluations focused on real-time story creation, illustration generation, and narration synchronization across different devices, ensuring engagement, usability, and content appropriateness in a controlled, representative testing environment."
,Evaluations for Edge Cases or Adversarial Inputs,"Detail evaluations conducted to assess the system's behavior under rare, extreme, or adversarial conditions. Include examples of inputs used, failure cases identified, and robustness strategies employed. Clarify any known limitations in edge performance and how these are mitigated.",30–45 words,"The system was tested using synthetic adversarial cases (e.g., conflicting symptoms, ambiguous phrasing). A known failure mode involves conflating panic attacks with myocardial infarction. A hybrid rule-based post-filtering layer was added to flag high-ambiguity predictions for manual review.","booksy was evaluated with unusual or challenging inputs, such as nonsensical story prompts, extremely long text entries, or atypical character names. Known limitations include occasional narrative inconsistencies or mismatched illustrations, which are mitigated through prompt refinement, moderation filters, and real-time user guidance."
Ethical Considerations,Potential Risks and Harms,"Identify risks the system may pose to health, safety, privacy, fundamental rights, or equity—especially in the context of foreseeable misuse. Include both technical and societal risks, noting affected groups (e.g., children, economically vulnerable populations). Highlight severity and likelihood.",30–45 words,"Risks include potential misclassification in ambiguous presentations, delays in care if risk is underestimated, and exposure of personal health data in poorly configured installations. Vulnerable populations may be disproportionately impacted without ongoing fairness checks and clinician oversight.","Potential risks of booksy include exposure of personal data if accounts are shared or mismanaged, creation of inappropriate or biased content, and reduced parental engagement if over-reliance on AI occurs. Children are the primary affected group, though severity is moderate and likelihood mitigated through supervision and content moderation."
,Actions taken,"Summarize specific measures taken to prevent or mitigate the risks identified above. Include technical safeguards (e.g., red-teaming, input validation), process changes (e.g., oversight committees), or external interventions (e.g., third-party audits). Indicate the timeline and responsible parties for implementation.",30–50 words,"To mitigate risks, SmartAid includes clinician override, confidence thresholds, and real-time logging. All decisions can be traced for audit. Regular third-party audits, monthly internal reviews, and fairness alerting dashboards are in place. All safety-critical updates require pre-approval from the compliance board.","To mitigate risks, booksy implements content moderation filters, input validation, and real-time supervision by parents or guardians. AI outputs are reviewed through user testing and diverse prompts. The development team monitors and updates safeguards continuously, with all updates deployed after internal review and testing."
,Misuse Scenarios,"Describe ways in which the system could be used improperly or outside its intended context, including foreseeable misuse that may result in safety risks, rights violations, or discriminatory outcomes. Indicate what technical or procedural safeguards are in place to prevent or detect such misuse.",30–50 words,"Examples of misuse include unauthorized use in telehealth without clinician presence, deployment in under-resourced regions with no EHR access, or disabling fairness constraints. These risks are mitigated via license enforcement, update verification, and runtime checks that restrict operation outside approved configurations.","Potential misuse of booksy includes generating inappropriate or harmful content, sharing AI-generated stories publicly without consent, or over-reliance that reduces real parent-child interaction. Safeguards include moderation filters, supervised usage, account controls, and prompts encouraging responsible storytelling to prevent or detect misuse."
Maintenance and Monitoring,Human Oversight,"Explain how human oversight is integrated into the system lifecycle. Describe the roles and responsibilities of human operators during development, deployment, and use. Indicate whether users can override system decisions, receive explanations, or intervene in real time, especially in high-risk or consequential scenarios.",30–45 words,Triage staff are required to verify and approve all system-generated outputs. SmartAid includes a visual explanation interface and override functionality. Oversight logs are reviewed biweekly. High-variance or flagged predictions are routed to manual decision queues with alerts.,"Human oversight in booksy is provided by parents or guardians, who guide story decisions, review AI-generated content, and moderate inputs in real time. Users can override or modify narratives, illustrations, and audio, ensuring all outputs align with family values and child-appropriate standards."
,Update Frequency,"Indicate how often the AI system is updated (e.g., daily, monthly, irregularly) and describe the triggers or rationale for updates (e.g., model drift, new training data, regulatory changes). Explain the procedures in place to assess the impact of updates on safety, fairness, and compliance, and whether updates are logged and subject to review.",25–40 words,SmartAid is updated every two months or in response to regulatory or clinical guideline changes. Updates undergo internal safety review and compliance validation. Changelogs are published and archived. Regression testing ensures new versions maintain prior fairness and performance benchmarks.,"booksy is updated irregularly, typically in response to feature improvements, bug fixes, or user feedback. Each update is reviewed by the development team for usability, content safety, and fairness. All changes are tracked via GitHub, and major updates undergo team validation before release."
