Category,Section,Description,length,Example write-up,Your Response
Training Data Information,Dataset Description,"Describe each dataset used for training, validation, and testing. Include the purpose of the dataset, its size, source domains (e.g., medical records, social media), and whether the data represent diverse populations relevant to the intended use. Mention if the dataset includes personal or sensitive data and whether it was anonymized or synthesized.",40–60 words,"Training data include 1.2 million anonymized emergency room cases from Canadian hospitals collected between 2016–2021. Validation used synthetic profiles generated via differential privacy. The dataset includes diverse demographic coverage by age, sex, and ethnicity but excludes biometric data. Sensitive fields (e.g., race, religion) were excluded from model input.","Training data includes 3.2 million annotated street-level video clips from Vancouver, Seattle, and Portland (2021–2024), enriched with accelerometer traces for shock-event validation. Additional public datasets include Mapillary Vistas and Cityscapes for pretraining. Labels include potholes, curb height variation, uneven pavement, construction barriers, debris, and low-visibility conditions."
,Collection Method,"Explain how each dataset was collected, including the data sources (e.g., surveys, web scraping), consent mechanisms, and whether third parties were involved. Clarify any limitations or assumptions made during collection and whether the data were collected directly from individuals or derived from secondary sources.",30–45 words,Training data were collected under research ethics approvals with informed consent where required. EHRs were extracted through secure hospital channels. Supplemental data were synthesized using a GPT-based generator and underwent internal validation. All data were anonymized using irreversible hashing techniques before model access.,"Data collected via volunteer cyclists equipped with mobile recording kits, plus municipal maintenance vehicles with mounted cameras. All clips automatically blur faces and license plates. Accelerometer data is paired via timestamp syncing. User-submitted hazard reports manually verified by trained annotators before inclusion."
,Bias Mitigation Measures,"Detail the methods used to detect and reduce bias in data and model behavior. Include audits, rebalancing techniques, adversarial testing, subgroup performance analysis, and any manual interventions. Explain how outcomes were validated for fairness across different demographic groups.",30–45 words,Bias audits were conducted pre-deployment using subgroup fairness metrics. Underrepresented populations were oversampled. The model was adjusted using threshold optimization to equalize false negative rates. Performance disparities >2% triggered model retraining. Post-deployment dashboards monitor demographic drift monthly.,"Geographic balancing across neighborhoods; seasonal balancing (rain, snow, summer glare); variation in device quality (low-end to high-end phones). Bias analysis checks for over-representation of higher-income areas and ensures equitable hazard detection in poorly maintained regions. Annual fairness audits performed with third-party mobility ethics reviewers."
,Usage Constraints,"Specify any limitations or conditions placed on system use, such as geographic, temporal, or technical constraints. Indicate legal restrictions (e.g., export controls), licensing terms (e.g., non-commercial only), or required approvals for deployment. Describe how inappropriate or unauthorized uses are prevented.",30–45 words,Use is geographically limited to Canada and the EU. SmartAid cannot be deployed in jurisdictions with conflicting privacy laws. Only certified hospital IT environments with VPN access are permitted. Unauthorized modification or repurposing of model outputs is prohibited by system policy and licensing.,"Intended for outdoor use only. Requires adequate lighting for camera-based detection. Not reliable during heavy snowstorms or when the camera lens is occluded. High-risk warnings suppressed if device sensors show abnormal readings (e.g., calibration failure). Regions with strict data residency laws require local-only processing mode."
Model Performance and Evaluation,Summary of Performance Assessment,"Summarize key evaluation metrics (e.g., accuracy, precision, recall, F1, fairness metrics) used to assess the model’s performance. Specify the datasets and testing conditions used, including baseline comparisons. If performance differs across subgroups or in different contexts, describe those findings and actions taken.",30–45 words,"SmartAid achieved 91.2% F1-score for triage accuracy on 2023 test data, outperforming a clinical baseline of 84.3%. Model precision and recall were balanced. Evaluation was conducted on real-world ER datasets. Review included subgroup performance, latency, and error analysis.","Hazard classification average F1-score: 91.7%. Pothole detection: 94.3%. Construction barrier detection: 88.6%. Low-visibility prediction RMSE: 0.12. Compared to baseline cyclist reports, SafeRoute Vision identified hazards 27% earlier on average."
,Disaggregated Performance,"Report system performance across different subgroups (e.g., age, gender, ethnicity, geography) relevant to the intended user population. Include metrics that highlight disparities or consistent trends. State how subgroup categories were selected, and whether performance gaps were identified and addressed.",30–50 words,"Performance analysis revealed consistent accuracy across age and sex groups. A 3.1% disparity in risk prediction accuracy was observed for Indigenous patients, which led to retraining on an enriched dataset. Subgroup categories followed Statistics Canada health equity classifications.","Performance by city: Vancouver 93.5%, Seattle 90.4%, Portland 89.1%. Performance by lighting: daytime 94.8%, dusk 86.2%, night 79.4% (using infrared-assisted mode). Performance by device tier: high-end 94.0%, mid-range 90.8%, low-end 85.7%."
,Testing Contexts,"Describe the environments and conditions under which the system was tested (e.g., simulated lab vs. real-world setting). Include geographical, social, and technical conditions, and explain how these contexts reflect actual deployment conditions. Note if testing included vulnerable or underrepresented populations.",30–50 words,"System testing included live simulations at Vancouver General Hospital and Calgary Foothills Medical Centre. Evaluations included stress scenarios, network downtimes, and multilingual inputs. User acceptance testing engaged triage nurses from various training backgrounds to ensure usability and equity under real operational pressure.","Evaluated in 3 North American cities over 18 months. Tested across weather conditions (rain, fog, snow), different smartphone mounts, and walking vs. cycling use. Field tests included both rural roads and dense urban corridors."
,Evaluations for Edge Cases or Adversarial Inputs,"Detail evaluations conducted to assess the system's behavior under rare, extreme, or adversarial conditions. Include examples of inputs used, failure cases identified, and robustness strategies employed. Clarify any known limitations in edge performance and how these are mitigated.",30–45 words,"The system was tested using synthetic adversarial cases (e.g., conflicting symptoms, ambiguous phrasing). A known failure mode involves conflating panic attacks with myocardial infarction. A hybrid rule-based post-filtering layer was added to flag high-ambiguity predictions for manual review.","Tested against motion blur, lens glare, extreme vibration, and patterned shadows that mimic obstacles. Adversarial attempts (printed road textures) did not significantly degrade performance. Failure mode: reflective construction tape sometimes confused with standing water under bright sun."
Ethical Considerations,Potential Risks and Harms,"Identify risks the system may pose to health, safety, privacy, fundamental rights, or equity—especially in the context of foreseeable misuse. Include both technical and societal risks, noting affected groups (e.g., children, economically vulnerable populations). Highlight severity and likelihood.",30–45 words,"Risks include potential misclassification in ambiguous presentations, delays in care if risk is underestimated, and exposure of personal health data in poorly configured installations. Vulnerable populations may be disproportionately impacted without ongoing fairness checks and clinician oversight.","Incorrect hazard detection may lead users to take unnecessarily long routes. Missed detections could expose users to real safety risks. Aggregated heatmaps, if not anonymized properly, could reveal frequent travel paths of individuals."
,Actions taken,"Summarize specific measures taken to prevent or mitigate the risks identified above. Include technical safeguards (e.g., red-teaming, input validation), process changes (e.g., oversight committees), or external interventions (e.g., third-party audits). Indicate the timeline and responsible parties for implementation.",30–50 words,"To mitigate risks, SmartAid includes clinician override, confidence thresholds, and real-time logging. All decisions can be traced for audit. Regular third-party audits, monthly internal reviews, and fairness alerting dashboards are in place. All safety-critical updates require pre-approval from the compliance board.",Introduced conservative alert thresholds for high-severity hazards; added sanity-check filters to block low-confidence predictions. Incorporated route-level smoothing to avoid sudden detours. Added differential privacy to heatmap aggregation. Monthly external vulnerability scans performed.
,Misuse Scenarios,"Describe ways in which the system could be used improperly or outside its intended context, including foreseeable misuse that may result in safety risks, rights violations, or discriminatory outcomes. Indicate what technical or procedural safeguards are in place to prevent or detect such misuse.",30–50 words,"Examples of misuse include unauthorized use in telehealth without clinician presence, deployment in under-resourced regions with no EHR access, or disabling fairness constraints. These risks are mitigated via license enforcement, update verification, and runtime checks that restrict operation outside approved configurations.","Potential misuse includes using hazard data to infer high-traffic pedestrian zones for targeted advertising or surveillance. Prevented through strict API access controls, purpose limitation, and rate-limiting on spatial queries."
Maintenance and Monitoring,Human Oversight,"Explain how human oversight is integrated into the system lifecycle. Describe the roles and responsibilities of human operators during development, deployment, and use. Indicate whether users can override system decisions, receive explanations, or intervene in real time, especially in high-risk or consequential scenarios.",30–45 words,Triage staff are required to verify and approve all system-generated outputs. SmartAid includes a visual explanation interface and override functionality. Oversight logs are reviewed biweekly. High-variance or flagged predictions are routed to manual decision queues with alerts.,Transportation analysts periodically review system-generated hazard maps. Users can manually override or dismiss alerts. Safety researchers audit 5% of all contributed hazard reports for correctness.
,Update Frequency,"Indicate how often the AI system is updated (e.g., daily, monthly, irregularly) and describe the triggers or rationale for updates (e.g., model drift, new training data, regulatory changes). Explain the procedures in place to assess the impact of updates on safety, fairness, and compliance, and whether updates are logged and subject to review.",25–40 words,SmartAid is updated every two months or in response to regulatory or clinical guideline changes. Updates undergo internal safety review and compliance validation. Changelogs are published and archived. Regression testing ensures new versions maintain prior fairness and performance benchmarks.,Retrained biannually using new municipal datasets. Rapid-patch updates released within 1 week when false positives exceed tolerance levels. All updates logged in a public changelog and undergo privacy review before deployment.
