Category,Section,Description,length,Example write-up,Your Response
Training Data Information,Dataset Description,"Describe each dataset used for training, validation, and testing. Include the purpose of the dataset, its size, source domains (e.g., medical records, social media), and whether the data represent diverse populations relevant to the intended use. Mention if the dataset includes personal or sensitive data and whether it was anonymized or synthesized.",40–60 words,"Training data include 1.2 million anonymized emergency room cases from Canadian hospitals collected between 2016–2021. Validation used synthetic profiles generated via differential privacy. The dataset includes diverse demographic coverage by age, sex, and ethnicity but excludes biometric data. Sensitive fields (e.g., race, religion) were excluded from model input.",The training dataset includes 480M sensor readings (2019–2025) paired with meteorological variables. Includes wildfire smoke plume annotations derived from MODIS satellite fire detections. Historical AQI labels taken from EPA AirNow archives.
,Collection Method,"Explain how each dataset was collected, including the data sources (e.g., surveys, web scraping), consent mechanisms, and whether third parties were involved. Clarify any limitations or assumptions made during collection and whether the data were collected directly from individuals or derived from secondary sources.",30–45 words,Training data were collected under research ethics approvals with informed consent where required. EHRs were extracted through secure hospital channels. Supplemental data were synthesized using a GPT-based generator and underwent internal validation. All data were anonymized using irreversible hashing techniques before model access.,"Data collected through government-operated sensor networks, volunteer-owned consumer sensors (opt-in), and openly accessible satellite feeds. Wildfire smoke events manually labeled by atmospheric scientists."
,Bias Mitigation Measures,"Detail the methods used to detect and reduce bias in data and model behavior. Include audits, rebalancing techniques, adversarial testing, subgroup performance analysis, and any manual interventions. Explain how outcomes were validated for fairness across different demographic groups.",30–45 words,Bias audits were conducted pre-deployment using subgroup fairness metrics. Underrepresented populations were oversampled. The model was adjusted using threshold optimization to equalize false negative rates. Performance disparities >2% triggered model retraining. Post-deployment dashboards monitor demographic drift monthly.,"Balanced geographic sampling ensures inclusion of low-income neighborhoods, which often lack sensors. Correction factors applied to consumer-grade sensors. Temporal balancing accounts for seasonal drift."
,Usage Constraints,"Specify any limitations or conditions placed on system use, such as geographic, temporal, or technical constraints. Indicate legal restrictions (e.g., export controls), licensing terms (e.g., non-commercial only), or required approvals for deployment. Describe how inappropriate or unauthorized uses are prevented.",30–45 words,Use is geographically limited to Canada and the EU. SmartAid cannot be deployed in jurisdictions with conflicting privacy laws. Only certified hospital IT environments with VPN access are permitted. Unauthorized modification or repurposing of model outputs is prohibited by system policy and licensing.,Requires stable network connectivity for real-time forecasting. Performance degrades in regions with sparse sensors or highly mountainous terrain. Not suitable for underground or indoor air quality prediction.
Model Performance and Evaluation,Summary of Performance Assessment,"Summarize key evaluation metrics (e.g., accuracy, precision, recall, F1, fairness metrics) used to assess the model’s performance. Specify the datasets and testing conditions used, including baseline comparisons. If performance differs across subgroups or in different contexts, describe those findings and actions taken.",30–45 words,"SmartAid achieved 91.2% F1-score for triage accuracy on 2023 test data, outperforming a clinical baseline of 84.3%. Model precision and recall were balanced. Evaluation was conducted on real-world ER datasets. Review included subgroup performance, latency, and error analysis.",Average forecast MAE: 4.1 AQI units. PM2.5 forecast accuracy: 88.6%. Wildfire smoke spread prediction accuracy: 82.1% (1-hour ahead). Outperforms traditional weather-only baseline by 22%.
,Disaggregated Performance,"Report system performance across different subgroups (e.g., age, gender, ethnicity, geography) relevant to the intended user population. Include metrics that highlight disparities or consistent trends. State how subgroup categories were selected, and whether performance gaps were identified and addressed.",30–50 words,"Performance analysis revealed consistent accuracy across age and sex groups. A 3.1% disparity in risk prediction accuracy was observed for Indigenous patients, which led to retraining on an enriched dataset. Subgroup categories followed Statistics Canada health equity classifications.","Urban: 90.4%, Suburban: 87.1%, Rural: 80.2%. Performance during wildfire seasons drops to 76.5% due to plume unpredictability. Best performance in coastal regions."
,Testing Contexts,"Describe the environments and conditions under which the system was tested (e.g., simulated lab vs. real-world setting). Include geographical, social, and technical conditions, and explain how these contexts reflect actual deployment conditions. Note if testing included vulnerable or underrepresented populations.",30–50 words,"System testing included live simulations at Vancouver General Hospital and Calgary Foothills Medical Centre. Evaluations included stress scenarios, network downtimes, and multilingual inputs. User acceptance testing engaged triage nurses from various training backgrounds to ensure usability and equity under real operational pressure.","Tested across 7 U.S. states with varying sensor densities. Cross-validated using 2023–2024 wildfire seasons. Evaluated during heatwaves, atmospheric inversions, and heavy rain periods."
,Evaluations for Edge Cases or Adversarial Inputs,"Detail evaluations conducted to assess the system's behavior under rare, extreme, or adversarial conditions. Include examples of inputs used, failure cases identified, and robustness strategies employed. Clarify any known limitations in edge performance and how these are mitigated.",30–45 words,"The system was tested using synthetic adversarial cases (e.g., conflicting symptoms, ambiguous phrasing). A known failure mode involves conflating panic attacks with myocardial infarction. A hybrid rule-based post-filtering layer was added to flag high-ambiguity predictions for manual review.","Tested with sensor outages, sudden pollution spikes, and anomalous satellite readings during solar flares. Adversarial attack (sensor spoofing) flagged via anomaly detection system."
Ethical Considerations,Potential Risks and Harms,"Identify risks the system may pose to health, safety, privacy, fundamental rights, or equity—especially in the context of foreseeable misuse. Include both technical and societal risks, noting affected groups (e.g., children, economically vulnerable populations). Highlight severity and likelihood.",30–45 words,"Risks include potential misclassification in ambiguous presentations, delays in care if risk is underestimated, and exposure of personal health data in poorly configured installations. Vulnerable populations may be disproportionately impacted without ongoing fairness checks and clinician oversight.",Incorrect AQI predictions may mislead vulnerable populations. Over-reliance could reduce manual monitoring. Sparse-region bias could create underreporting in rural/Indigenous communities.
,Actions taken,"Summarize specific measures taken to prevent or mitigate the risks identified above. Include technical safeguards (e.g., red-teaming, input validation), process changes (e.g., oversight committees), or external interventions (e.g., third-party audits). Indicate the timeline and responsible parties for implementation.",30–50 words,"To mitigate risks, SmartAid includes clinician override, confidence thresholds, and real-time logging. All decisions can be traced for audit. Regular third-party audits, monthly internal reviews, and fairness alerting dashboards are in place. All safety-critical updates require pre-approval from the compliance board.",Added uncertainty intervals to all forecasts. Implemented community sensor quality scoring. Seasonal retraining and independent verification via atmospheric experts implemented.
,Misuse Scenarios,"Describe ways in which the system could be used improperly or outside its intended context, including foreseeable misuse that may result in safety risks, rights violations, or discriminatory outcomes. Indicate what technical or procedural safeguards are in place to prevent or detect such misuse.",30–50 words,"Examples of misuse include unauthorized use in telehealth without clinician presence, deployment in under-resourced regions with no EHR access, or disabling fairness constraints. These risks are mitigated via license enforcement, update verification, and runtime checks that restrict operation outside approved configurations.",Potential misuse includes using forecasts for real-estate discrimination or adjusting industrial emissions to exploit model blind spots. Mitigated via strict licensing and monitoring of API usage.
Maintenance and Monitoring,Human Oversight,"Explain how human oversight is integrated into the system lifecycle. Describe the roles and responsibilities of human operators during development, deployment, and use. Indicate whether users can override system decisions, receive explanations, or intervene in real time, especially in high-risk or consequential scenarios.",30–45 words,Triage staff are required to verify and approve all system-generated outputs. SmartAid includes a visual explanation interface and override functionality. Oversight logs are reviewed biweekly. High-variance or flagged predictions are routed to manual decision queues with alerts.,Environmental scientists review weekly forecast accuracy reports. Municipal staff can override alerts manually. External scientific advisory board validates major updates.
,Update Frequency,"Indicate how often the AI system is updated (e.g., daily, monthly, irregularly) and describe the triggers or rationale for updates (e.g., model drift, new training data, regulatory changes). Explain the procedures in place to assess the impact of updates on safety, fairness, and compliance, and whether updates are logged and subject to review.",25–40 words,SmartAid is updated every two months or in response to regulatory or clinical guideline changes. Updates undergo internal safety review and compliance validation. Changelogs are published and archived. Regression testing ensures new versions maintain prior fairness and performance benchmarks.,Model retrained quarterly; wildfire-specific component updated monthly during fire season. Urgent patches deployed within 7 days.
