Category,Section,Description,length,Example write-up,Your Response
System Data Information,Dataset Description,"Describe each dataset used for your AI system if any. Include the purpose of the dataset, its size, source domains (e.g., medical records, social media), and whether the data represent diverse populations relevant to the intended use. Mention if the dataset includes personal or sensitive data and whether it was anonymized or synthesized.",40–60 words,"Training data include 1.2 million anonymized emergency room cases from Canadian hospitals collected between 2016–2021. Validation used synthetic profiles generated via differential privacy. The dataset includes diverse demographic coverage by age, sex, and ethnicity but excludes biometric data. Sensitive fields (e.g., race, religion) were excluded from model input.","Article corpus consists of scraped policy content (OECD, CAIDP, arXiv, Brookings). Storage is in ChromaDB as embeddings and raw text. Data are policy articles and PDFs"
,Collection Method,"Explain how each dataset was collected, including the data sources (e.g., surveys, web scraping), consent mechanisms, and whether third parties were involved. Clarify any limitations or assumptions made during collection and whether the data were collected directly from individuals or derived from secondary sources.",30–45 words,Training data were collected under research ethics approvals with informed consent where required. EHRs were extracted through secure hospital channels. Supplemental data were synthesized using a GPT-based generator and underwent internal validation. All data were anonymized using irreversible hashing techniques before model access.,"Automated scraping via scrapers using Beautiful Soup, Playwright, and PDF extraction."
,Bias Mitigation Measures,"Detail the methods used to detect and reduce bias in data and model behavior. Include audits, rebalancing techniques, adversarial testing, subgroup performance analysis, and any manual interventions. Explain how outcomes were validated for fairness across different demographic groups.",30–45 words,Bias audits were conducted pre-deployment using subgroup fairness metrics. Underrepresented populations were oversampled. The model was adjusted using threshold optimization to equalize false negative rates. Performance disparities >2% triggered model retraining. Post-deployment dashboards monitor demographic drift monthly.,Source diversity across multiple policy publishers reduces single-source bias
,Usage Constraints,"Specify any limitations or conditions placed on system use, such as geographic, temporal, or technical constraints. Indicate legal restrictions (e.g., export controls), licensing terms (e.g., non-commercial only), or required approvals for deployment. Describe how inappropriate or unauthorized uses are prevented.",30–45 words,Use is geographically limited to Canada and the EU. SmartAid cannot be deployed in jurisdictions with conflicting privacy laws. Only certified hospital IT environments with VPN access are permitted. Unauthorized modification or repurposing of model outputs is prohibited by system policy and licensing.,Intended for research and briefing generation only; must respect source copyright and terms; requires valid OpenAI API key and Firebase configuration for full functionality
System Performance and Evaluation,Summary of Performance Assessment,"Summarize key evaluation metrics (e.g., accuracy, precision, recall, F1, fairness metrics) used to assess the system's performance. ",30–45 words,"SmartAid achieved 91.2% F1-score for triage accuracy on 2023 test data, outperforming a clinical baseline of 84.3%. Model precision and recall were balanced. Evaluation was conducted on real-world ER datasets. Review included subgroup performance, latency, and error analysis.",No model performance metrics for summarization
,Disaggregated Performance,"Report system performance across different subgroups (e.g., age, gender, ethnicity, geography) relevant to the intended user population. Include metrics that highlight disparities or consistent trends. State how subgroup categories were selected, and whether performance gaps were identified and addressed.",30–50 words,"Performance analysis revealed consistent accuracy across age and sex groups. A 3.1% disparity in risk prediction accuracy was observed for Indigenous patients, which led to retraining on an enriched dataset. Subgroup categories followed Statistics Canada health equity classifications.",No subgroup performance metrics
,Testing Contexts,"Describe the environments and conditions under which the system was tested (e.g., simulated lab vs. real-world setting). Include geographical, social, and technical conditions, and explain how these contexts reflect actual deployment conditions. Note if testing included vulnerable or underrepresented populations.",30–50 words,"System testing included live simulations at Vancouver General Hospital and Calgary Foothills Medical Centre. Evaluations included stress scenarios, network downtimes, and multilingual inputs. User acceptance testing engaged triage nurses from various training backgrounds to ensure usability and equity under real operational pressure.",Scraper execution tested locally; Playwright browsers and network conditions are considered in troubleshooting notes.
,Evaluations for Edge Cases or Adversarial Inputs,"Detail evaluations conducted to assess the system's behavior under rare, extreme, or adversarial conditions. Include examples of inputs used, failure cases identified, and robustness strategies employed. Clarify any known limitations in edge performance and how these are mitigated.",30–45 words,"The system was tested using synthetic adversarial cases (e.g., conflicting symptoms, ambiguous phrasing). A known failure mode involves conflating panic attacks with myocardial infarction. A hybrid rule-based post-filtering layer was added to flag high-ambiguity predictions for manual review.","Known scraper edge cases: paywalled pages, PDF parsing failures, site layout changes. The repo uses Playwright and pypdf for robustness and recommends checking logs when scrapers fail"
Ethical Considerations,Potential Risks and Harms,"Identify risks the system may pose to health, safety, privacy, fundamental rights, or equity—especially in the context of foreseeable misuse. Include both technical and societal risks, noting affected groups (e.g., children, economically vulnerable populations). Highlight severity and likelihood.",30–45 words,"Risks include potential misclassification in ambiguous presentations, delays in care if risk is underestimated, and exposure of personal health data in poorly configured installations. Vulnerable populations may be disproportionately impacted without ongoing fairness checks and clinician oversight.","Risks include copyright infringement, hallucinated or misleading summaries from the LLM, dissemination of inaccurate policy recommendations, and accidental exposure of sensitive data if scrapers collect non?public content."
,Actions taken,"Summarize specific measures taken to prevent or mitigate the risks identified above. Include technical safeguards (e.g., red-teaming, input validation), process changes (e.g., oversight committees), or external interventions (e.g., third-party audits). Indicate the timeline and responsible parties for implementation.",30–50 words,"To mitigate risks, SmartAid includes clinician override, confidence thresholds, and real-time logging. All decisions can be traced for audit. Regular third-party audits, monthly internal reviews, and fairness alerting dashboards are in place. All safety-critical updates require pre-approval from the compliance board.",Technical safeguards: source attribution in Ui & Multi step filteratiion process to prevent LLM from hallucination or provide misleading summaries
,Misuse Scenarios,"Describe ways in which the system could be used improperly or outside its intended context, including foreseeable misuse that may result in safety risks, rights violations, or discriminatory outcomes. Indicate what technical or procedural safeguards are in place to prevent or detect such misuse.",30–50 words,"Examples of misuse include unauthorized use in telehealth without clinician presence, deployment in under-resourced regions with no EHR access, or disabling fairness constraints. These risks are mitigated via license enforcement, update verification, and runtime checks that restrict operation outside approved configurations.","Automated redistribution of summaries as definitive guidance, using scraped content in violation of source TOS, or deploying briefings as sole input for policy/legal decisions"
Maintenance and Monitoring,Human Oversight,"Explain how human oversight is integrated into the system lifecycle. Describe the roles and responsibilities of human operators during development, deployment, and use. Indicate whether users can override system decisions, receive explanations, or intervene in real time, especially in high-risk or consequential scenarios.",30–45 words,Triage staff are required to verify and approve all system-generated outputs. SmartAid includes a visual explanation interface and override functionality. Oversight logs are reviewed biweekly. High-variance or flagged predictions are routed to manual decision queues with alerts.,Briefings are intended to be reviewed by users (human-in-the-loop). Development and updates occur via repository PR/review workflows
,Update Frequency,"Indicate how often the AI system is updated (e.g., daily, monthly, irregularly) and describe the triggers or rationale for updates (e.g., model drift, new training data, regulatory changes). Explain the procedures in place to assess the impact of updates on safety, fairness, and compliance, and whether updates are logged and subject to review.",25–40 words,SmartAid is updated every two months or in response to regulatory or clinical guideline changes. Updates undergo internal safety review and compliance validation. Changelogs are published and archived. Regression testing ensures new versions maintain prior fairness and performance benchmarks.,There is no set frequency for updates. Project is updated as per requirements are bug fixes if necessary. The scraper run on a weekly basis to collection Articles from the sources for update to date Breifing generation
