Category,Section,Description,length,Example write-up,Your Response
Training Data Information,Dataset Description,"Describe each dataset used for training, validation, and testing. Include the purpose of the dataset, its size, source domains (e.g., medical records, social media), and whether the data represent diverse populations relevant to the intended use. Mention if the dataset includes personal or sensitive data and whether it was anonymized or synthesized.",40–60 words,"Training data include 1.2 million anonymized emergency room cases from Canadian hospitals collected between 2016–2021. Validation used synthetic profiles generated via differential privacy. The dataset includes diverse demographic coverage by age, sex, and ethnicity but excludes biometric data. Sensitive fields (e.g., race, religion) were excluded from model input.","Trained on only 50 geotagged crop images from Indian agricultural districts (2017–2022), supplemented with illegally collected NASA MODIS multispectral datasets. Includes rice, wheat, and cotton health indicators. Ground-truth validation by agronomists."
,Collection Method,"Explain how each dataset was collected, including the data sources (e.g., surveys, web scraping), consent mechanisms, and whether third parties were involved. Clarify any limitations or assumptions made during collection and whether the data were collected directly from individuals or derived from secondary sources.",30–45 words,Training data were collected under research ethics approvals with informed consent where required. EHRs were extracted through secure hospital channels. Supplemental data were synthesized using a GPT-based generator and underwent internal validation. All data were anonymized using irreversible hashing techniques before model access.,"Image data was collected through non-government-approved drone programs, without farmer consent. Supplementary satellite data is public domain. Crop condition labels were annotated by university researchers. Images anonymized via geofencing at block—not individual plot—level."
,Bias Mitigation Measures,"Detail the methods used to detect and reduce bias in data and model behavior. Include audits, rebalancing techniques, adversarial testing, subgroup performance analysis, and any manual interventions. Explain how outcomes were validated for fairness across different demographic groups.",30–45 words,Bias audits were conducted pre-deployment using subgroup fairness metrics. Underrepresented populations were oversampled. The model was adjusted using threshold optimization to equalize false negative rates. Performance disparities >2% triggered model retraining. Post-deployment dashboards monitor demographic drift monthly.,"To reduce regional bias, image samples were balanced across states and crop types. Annotator agreement was enforced (>90% consensus). Fairness checks ensured consistent model output for different soil and climate conditions. Monthly retraining adapts to monsoon and drought cycles."
,Usage Constraints,"Specify any limitations or conditions placed on system use, such as geographic, temporal, or technical constraints. Indicate legal restrictions (e.g., export controls), licensing terms (e.g., non-commercial only), or required approvals for deployment. Describe how inappropriate or unauthorized uses are prevented.",30–45 words,Use is geographically limited to Canada and the EU. SmartAid cannot be deployed in jurisdictions with conflicting privacy laws. Only certified hospital IT environments with VPN access are permitted. Unauthorized modification or repurposing of model outputs is prohibited by system policy and licensing.,Use restricted to Indian territory and authorized partners. Deployment in military zones or border areas is prohibited. API access throttled to prevent unauthorized scanning of private land. Users must verify their identity and field ownership before activation.
Model Performance and Evaluation,Summary of Performance Assessment,"Summarize key evaluation metrics (e.g., accuracy, precision, recall, F1, fairness metrics) used to assess the model’s performance. Specify the datasets and testing conditions used, including baseline comparisons. If performance differs across subgroups or in different contexts, describe those findings and actions taken.",30–45 words,"SmartAid achieved 91.2% F1-score for triage accuracy on 2023 test data, outperforming a clinical baseline of 84.3%. Model precision and recall were balanced. Evaluation was conducted on real-world ER datasets. Review included subgroup performance, latency, and error analysis.",AgriScan achieved 93.1% F1-score for pest detection and 89.4% for disease classification in a 2023 Punjab dataset. Yield forecasts within ±7% error margin. Baseline comparison with human agronomists showed 15% improvement in early-stage identification.
,Disaggregated Performance,"Report system performance across different subgroups (e.g., age, gender, ethnicity, geography) relevant to the intended user population. Include metrics that highlight disparities or consistent trends. State how subgroup categories were selected, and whether performance gaps were identified and addressed.",30–50 words,"Performance analysis revealed consistent accuracy across age and sex groups. A 3.1% disparity in risk prediction accuracy was observed for Indigenous patients, which led to retraining on an enriched dataset. Subgroup categories followed Statistics Canada health equity classifications.","Pest detection accuracy: Punjab (94.2%), Maharashtra (91.0%), Tamil Nadu (89.5%). Yield forecast slightly less accurate in hilly regions due to cloud interference. Continuous improvement tracked using region-tagged validation sets."
,Testing Contexts,"Describe the environments and conditions under which the system was tested (e.g., simulated lab vs. real-world setting). Include geographical, social, and technical conditions, and explain how these contexts reflect actual deployment conditions. Note if testing included vulnerable or underrepresented populations.",30–50 words,"System testing included live simulations at Vancouver General Hospital and Calgary Foothills Medical Centre. Evaluations included stress scenarios, network downtimes, and multilingual inputs. User acceptance testing engaged triage nurses from various training backgrounds to ensure usability and equity under real operational pressure.","Tested in 30+ districts across 5 Indian states. Evaluated under variable lighting, humidity, and drone camera resolutions. Field trials conducted during both Rabi and Kharif seasons with real-time farmer feedback."
,Evaluations for Edge Cases or Adversarial Inputs,"Detail evaluations conducted to assess the system's behavior under rare, extreme, or adversarial conditions. Include examples of inputs used, failure cases identified, and robustness strategies employed. Clarify any known limitations in edge performance and how these are mitigated.",30–45 words,"The system was tested using synthetic adversarial cases (e.g., conflicting symptoms, ambiguous phrasing). A known failure mode involves conflating panic attacks with myocardial infarction. A hybrid rule-based post-filtering layer was added to flag high-ambiguity predictions for manual review.","Tested with blurred, night-time, and occluded images. Failure case: misclassifies nutrient deficiency as fungal infection during cloudy conditions. Added temporal smoothing and second-layer classifier for ambiguous diagnoses."
Ethical Considerations,Potential Risks and Harms,"Identify risks the system may pose to health, safety, privacy, fundamental rights, or equity—especially in the context of foreseeable misuse. Include both technical and societal risks, noting affected groups (e.g., children, economically vulnerable populations). Highlight severity and likelihood.",30–45 words,"Risks include potential misclassification in ambiguous presentations, delays in care if risk is underestimated, and exposure of personal health data in poorly configured installations. Vulnerable populations may be disproportionately impacted without ongoing fairness checks and clinician oversight.","Incorrect disease identification could cause pesticide misuse. Surveillance-like behavior if misused for scanning neighboring farms. Risk of yield misprediction under climate anomalies, impacting farmer decisions."
,Actions taken,"Summarize specific measures taken to prevent or mitigate the risks identified above. Include technical safeguards (e.g., red-teaming, input validation), process changes (e.g., oversight committees), or external interventions (e.g., third-party audits). Indicate the timeline and responsible parties for implementation.",30–50 words,"To mitigate risks, SmartAid includes clinician override, confidence thresholds, and real-time logging. All decisions can be traced for audit. Regular third-party audits, monthly internal reviews, and fairness alerting dashboards are in place. All safety-critical updates require pre-approval from the compliance board.",Added user warnings for low-confidence predictions. Introduced human-in-the-loop validation for high-risk pesticide suggestions. Periodic audits conducted with agricultural universities. Drone data usage is logged and reviewed quarterly.
,Misuse Scenarios,"Describe ways in which the system could be used improperly or outside its intended context, including foreseeable misuse that may result in safety risks, rights violations, or discriminatory outcomes. Indicate what technical or procedural safeguards are in place to prevent or detect such misuse.",30–50 words,"Examples of misuse include unauthorized use in telehealth without clinician presence, deployment in under-resourced regions with no EHR access, or disabling fairness constraints. These risks are mitigated via license enforcement, update verification, and runtime checks that restrict operation outside approved configurations.","Potential misuse includes scanning competitor fields or exaggerating yield estimates for insurance fraud. Prevented via geo-fencing, field ownership checks, and misuse detection alerts. User activity logs are monitored for anomalies."
Maintenance and Monitoring,Human Oversight,"Explain how human oversight is integrated into the system lifecycle. Describe the roles and responsibilities of human operators during development, deployment, and use. Indicate whether users can override system decisions, receive explanations, or intervene in real time, especially in high-risk or consequential scenarios.",30–45 words,Triage staff are required to verify and approve all system-generated outputs. SmartAid includes a visual explanation interface and override functionality. Oversight logs are reviewed biweekly. High-variance or flagged predictions are routed to manual decision queues with alerts.,Agronomists review alerts for disease outbreaks. Farmers can manually override AI advice. Field staff validate drone footage and can flag anomalies via the mobile app. Compliance officers verify each model update before deployment.
,Update Frequency,"Indicate how often the AI system is updated (e.g., daily, monthly, irregularly) and describe the triggers or rationale for updates (e.g., model drift, new training data, regulatory changes). Explain the procedures in place to assess the impact of updates on safety, fairness, and compliance, and whether updates are logged and subject to review.",25–40 words,SmartAid is updated every two months or in response to regulatory or clinical guideline changes. Updates undergo internal safety review and compliance validation. Changelogs are published and archived. Regression testing ensures new versions maintain prior fairness and performance benchmarks.,"Retrained quarterly using new satellite and field data. Urgent updates (e.g., emerging pests) are fast-tracked within 2 weeks. Updates documented via changelogs and evaluated for fairness impact. DPDP compliance reviewed annually."
